timestamp;from;to;reachable;from_lat;from_lon;to_lat;to_lon
2024-04-26T15:45:04.858537;Lancy;Annecy;TRUE;46.18596;6.124929;45.902139;6.121605
2024-04-26T15:45:05.764899;Lancy;Annemasse;TRUE;46.18596;6.124929;46.199355;6.236394
2024-04-26T15:44:28.303430;Lancy;Basel;TRUE;46.18596;6.124929;47.547412;7.589577
2024-04-26T15:45:23.106897;Lancy;Belfort;TRUE;46.18596;6.124929;47.633374;6.853654
2024-04-26T15:45:07.628043;Lancy;Bellegarde-sur-Valserine;TRUE;46.18596;6.124929;46.110945;5.825947
2024-04-26T15:44:31.570813;Lancy;Bern;TRUE;46.18596;6.124929;46.948832;7.439136
2024-04-26T15:45:28.643639;Lancy;Besançon;TRUE;46.18596;6.124929;47.247349;6.022024
2024-04-26T15:44:39.658599;Lancy;Biel/Bienne;TRUE;46.18596;6.124929;47.132902;7.242918
2024-04-26T15:45:39.579903;Lancy;Bourg-en-Bresse;TRUE;46.18596;6.124929;46.199963;5.214758
2024-04-27T12:08:01.534791;Lancy;Chalon-sur-Saône;TRUE;46.18596;6.124929;46.781779;4.843397
2024-04-26T15:45:06.729064;Lancy;Chambéry;TRUE;46.18596;6.124929;45.571531;5.919711
2024-04-26T15:44:49.713259;Lancy;Chur;TRUE;46.18596;6.124929;46.853078;9.528939
2024-04-26T15:46:11.336272;Lancy;Colmar;TRUE;46.18596;6.124929;48.072472;7.346578
2024-04-26T15:45:38.181736;Lancy;Dijon;TRUE;46.18596;6.124929;47.322954;5.026144
2024-04-26T15:44:54.934489;Lancy;Emmen;TRUE;46.18596;6.124929;47.070593;8.282565
2024-04-26T15:45:08.127748;Lancy;Évian-les-Bains;TRUE;46.18596;6.124929;46.397777;6.577758
2024-04-26T15:44:43.864730;Lancy;Fribourg;TRUE;46.18596;6.124929;46.803151;7.151052
2024-04-26T15:44:28.696696;Lancy;Geneva;TRUE;46.18596;6.124929;46.210228;6.142435
2024-04-27T12:08:05.001683;Lancy;Gland;TRUE;46.18596;6.124929;46.419998;6.269128
2024-04-26T15:45:45.727542;Lancy;Grenoble;TRUE;46.18596;6.124929;45.191238;5.714087
2024-04-26T15:44:42.241674;Lancy;Köniz;TRUE;46.18596;6.124929;46.924939;7.415398
2024-04-26T15:44:43.154752;Lancy;La Chaux-de-Fonds;TRUE;46.18596;6.124929;47.09838;6.825994
2024-04-27T12:06:25.652763;Lancy;Lancy;FALSE;;;;
2024-04-26T15:44:29.214312;Lancy;Lausanne;TRUE;46.18596;6.124929;46.516795;6.629087
2024-04-26T15:46:24.553136;Lancy;Lons-le-Saunier;TRUE;46.18596;6.124929;46.668494;5.551308
2024-04-26T15:44:33.659525;Lancy;Lucerne;TRUE;46.18596;6.124929;47.050174;8.310185
2024-04-26T15:44:38.963405;Lancy;Lugano;TRUE;46.18596;6.124929;46.005494;8.946993
2024-04-26T15:45:42.345539;Lancy;Lyon;TRUE;46.18596;6.124929;45.76062;4.859965
2024-04-27T12:08:02.040546;Lancy;Martigny;TRUE;46.18596;6.124929;46.105829;7.079108
2024-04-26T15:45:57.513126;Lancy;Metz;TRUE;46.18596;6.124929;49.109389;6.177838
2024-04-26T15:45:17.400435;Lancy;Montbéliard;TRUE;46.18596;6.124929;47.510602;6.801613
2024-04-27T12:08:04.187231;Lancy;Montreux;TRUE;46.18596;6.124929;46.435887;6.910438
